Year,ID1,ID2,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at
1973,08NF001, 08NF001,50.887032,-116.046097,2000,-5.4,6.9,18.3,4.8,-16.4,-4,4,-4.5,-10.9,1.4,11.1,0.1,310,328,271,349,1006,171,1,305,0,79,572,120,2602,1527,632,1625,0,0,5,3,0,20,81,27,304,144,8,218,0,125,310,76,0,0,60,0,54,61,56,66
1974,08NF001, 08NF001,50.887032,-116.046097,2000,-4.1,5.3,18.4,8.4,-13.2,-4.6,4.3,-3.4,-8.6,0.4,11.3,2.5,408,292,234,238,818,218,0,170,0,52,583,137,2396,1626,615,1414,0,0,5,3,1,18,83,25,386,163,7,106,0,112,312,89,0,0,122,0,62,63,56,59
1975,08NF001, 08NF001,50.887032,-116.046097,2000,-6.2,4.7,16.9,6.7,-15.9,-6.2,4.5,-4.1,-11.1,-0.8,10.7,1.3,397,112,431,284,1007,301,1,233,0,55,529,134,2601,1727,678,1521,0,0,6,2,1,14,79,24,381,75,18,144,0,76,286,84,0,31,0,11,58,59,61,62
1976,08NF001, 08NF001,50.887032,-116.046097,2000,-4.1,6.1,16.1,7.7,-13,-4.7,4.3,-3.2,-8.5,0.7,10.2,2.2,435,260,439,207,792,254,1,200,0,91,493,164,2385,1595,718,1440,1,1,3,4,1,23,79,29,411,103,23,58,0,128,273,85,0,1,0,0,62,61,62,61
1977,08NF001, 08NF001,50.887032,-116.046097,2000,-2.8,6.5,17.9,5.3,-11.8,-4.1,4.2,-4.9,-7.3,1.2,11.1,0.2,181,292,383,294,707,195,0,256,0,75,557,84,2275,1549,641,1620,0,0,4,1,2,22,83,21,156,128,11,171,0,124,302,73,0,34,36,0,62,62,57,63
1978,08NF001, 08NF001,50.887032,-116.046097,2000,-6.5,6.2,18,5.5,-16.5,-3.6,4.8,-4.5,-11.5,1.3,11.4,0.5,312,300,383,331,1059,154,0,287,0,59,587,117,2656,1539,608,1595,0,0,6,1,0,21,84,30,308,159,10,140,0,111,301,73,0,0,6,0,57,65,59,63
1979,08NF001, 08NF001,50.887032,-116.046097,2000,-8.8,6.2,19.4,7.3,-19.5,-4.6,4.9,-3.7,-14.1,0.8,12.2,1.8,271,202,194,148,1290,188,0,240,0,72,666,173,2895,1584,535,1476,0,0,9,2,0,16,84,32,268,104,4,33,0,118,324,87,0,0,130,0,54,61,55,61
1980,08NF001, 08NF001,50.887032,-116.046097,2000,-5,7.3,16.5,7.2,-14.4,-3.5,4,-2.4,-9.7,1.9,10.2,2.4,425,403,438,372,913,213,1,161,0,133,484,120,2493,1483,718,1424,0,0,2,0,1,29,80,31,383,135,19,140,0,137,282,76,0,2,28,0,60,62,60,66
1981,08NF001, 08NF001,50.887032,-116.046097,2000,-3.4,7.1,17.5,8,-11.7,-3.1,4.4,-2.7,-7.5,2,11,2.6,379,352,530,241,713,132,1,140,0,79,563,137,2291,1473,649,1400,0,0,8,3,2,25,80,28,353,120,27,73,0,115,292,83,0,0,45,0,65,63,59,63
1982,08NF001, 08NF001,50.887032,-116.046097,2000,-6.7,5,17.6,5.3,-16.7,-6,4.7,-4.5,-11.7,-0.5,11.2,0.4,427,252,389,315,1065,269,0,279,0,47,564,112,2669,1703,633,1605,0,0,5,1,0,12,84,27,420,174,9,123,0,74,296,75,0,0,0,0,57,59,59,64
1983,08NF001, 08NF001,50.887032,-116.046097,2000,-2.8,6.8,17.6,5.7,-11.8,-3.7,4.7,-3.9,-7.3,1.6,11.2,0.9,286,203,475,227,703,167,1,190,0,96,573,73,2277,1514,630,1556,0,0,5,0,2,20,84,19,253,125,16,106,0,128,293,73,0,36,8,0,62,63,60,65
1984,08NF001, 08NF001,50.887032,-116.046097,2000,-5.3,5.6,18.4,4.2,-15.2,-3.8,4.3,-5.8,-10.2,0.9,11.3,-0.8,225,263,399,356,965,160,1,282,0,51,592,54,2547,1576,612,1710,0,0,5,0,1,18,82,14,204,143,12,218,0,105,310,46,0,0,54,0,58,65,56,63
1985,08NF001, 08NF001,50.887032,-116.046097,2000,-7.7,7.1,18.6,0.8,-17.8,-4,3.9,-8.1,-12.8,1.5,11.2,-3.7,228,250,342,414,1159,200,1,506,0,108,576,44,2764,1518,628,1970,0,0,7,0,0,24,78,15,227,93,14,234,0,130,318,43,0,0,90,0,56,60,55,65
1986,08NF001, 08NF001,50.887032,-116.046097,2000,-4.3,7.5,18,5.4,-12.8,-2.3,4.4,-4.4,-8.5,2.6,11.2,0.5,260,300,494,406,787,112,0,238,0,90,573,82,2375,1421,627,1592,1,1,6,2,1,27,83,23,239,108,15,217,0,122,301,72,0,0,21,0,64,65,58,65
1987,08NF001, 08NF001,50.887032,-116.046097,2000,-3.4,8.2,17.6,9.7,-12.6,-2.3,4.7,-2.3,-8,3,11.1,3.7,141,264,439,141,749,123,0,121,0,117,563,187,2337,1388,635,1303,0,1,4,5,1,30,83,29,130,91,11,29,0,135,295,96,0,0,0,8,61,63,60,60
1988,08NF001, 08NF001,50.887032,-116.046097,2000,-5.1,7.5,18.2,7.9,-14.9,-2.8,4.7,-2.8,-10,2.4,11.4,2.5,239,320,574,288,930,139,0,174,0,101,594,141,2523,1442,606,1408,0,0,5,2,1,26,84,29,232,141,12,87,0,130,304,86,0,0,0,0,59,64,58,63
1989,08NF001, 08NF001,50.887032,-116.046097,2000,-6.1,5.8,18.1,6.7,-15.8,-4.6,5,-3.3,-10.9,0.6,11.5,1.7,299,239,541,324,978,223,0,192,0,65,604,117,2586,1606,594,1487,0,0,6,3,1,19,85,25,286,148,16,158,0,119,303,80,0,8,35,0,59,62,59,64
1990,08NF001, 08NF001,50.887032,-116.046097,2000,-4.6,6.6,17.8,6.7,-12.6,-3.5,4.8,-3.5,-8.6,1.6,11.3,1.6,315,335,394,465,782,150,1,231,0,70,587,164,2381,1516,618,1494,0,0,5,3,1,23,83,25,294,126,13,316,0,113,296,68,0,0,11,36,66,64,60,64
1991,08NF001, 08NF001,50.887032,-116.046097,2000,-5.6,5.4,17.7,6.5,-14,-4.6,4.8,-4.8,-9.8,0.4,11.2,0.9,255,377,347,246,945,239,1,247,2,70,588,119,2516,1621,621,1562,0,0,7,1,3,21,83,21,229,199,15,143,0,115,294,83,0,0,28,0,64,63,60,60
1992,08NF001, 08NF001,50.887032,-116.046097,2000,-1.6,8.7,18,5.7,-9.6,-2.5,4.5,-3.6,-5.6,3.1,11.2,1,219,268,420,291,570,85,0,200,0,99,571,80,2124,1370,626,1544,0,0,4,0,3,26,83,23,176,75,10,110,0,162,302,72,0,16,0,0,67,61,58,66
1993,08NF001, 08NF001,50.887032,-116.046097,2000,-7.3,7.9,14.8,6.4,-17.1,-2.7,3.9,-4.2,-12.2,2.6,9.3,1.1,190,308,733,252,1106,150,1,237,0,136,399,118,2716,1417,801,1540,0,0,0,3,0,29,80,24,188,108,40,105,0,135,253,82,0,0,0,0,58,63,65,62
1994,08NF001, 08NF001,50.887032,-116.046097,2000,-4.3,7.5,19.2,6.4,-11.7,-2.5,5,-4.2,-8,2.5,12.1,1.1,272,234,366,275,746,122,1,261,0,94,659,161,2324,1429,548,1538,0,0,9,4,2,27,84,27,242,94,10,160,0,124,320,86,0,0,76,31,68,64,56,63
1995,08NF001, 08NF001,50.887032,-116.046097,2000,-4,6.3,16.1,6.3,-13,-4.1,4.4,-3,-8.5,1.1,10.2,1.7,263,310,550,488,794,190,1,205,0,74,482,134,2383,1555,716,1490,0,0,2,4,1,20,82,27,247,150,22,266,0,121,272,79,0,0,0,0,62,63,63,67
1996,08NF001, 08NF001,50.887032,-116.046097,2000,-6.5,5,18.7,4,-16.4,-4.8,4.5,-5.1,-11.5,0.1,11.6,-0.5,323,314,262,383,1052,236,1,295,0,55,616,76,2651,1648,588,1686,0,0,6,0,0,19,83,20,317,159,7,223,0,109,312,70,0,0,75,0,58,64,56,66
1997,08NF001, 08NF001,50.887032,-116.046097,2000,-5.8,5.4,17.2,6.9,-15.2,-4.7,4.4,-2.7,-10.5,0.3,10.8,2.1,331,223,314,290,981,235,1,179,0,67,535,133,2571,1626,668,1453,0,0,4,3,1,18,82,30,323,140,11,79,0,78,289,77,0,0,6,0,60,63,60,66
1998,08NF001, 08NF001,50.887032,-116.046097,2000,-3.5,7.7,19.2,7.8,-11.5,-2.9,5.8,-1.9,-7.5,2.4,12.5,3,206,299,419,315,717,158,1,169,0,125,695,190,2292,1438,513,1373,0,0,14,4,2,28,86,33,191,114,15,146,0,136,312,89,0,19,63,14,66,62,59,66
1999,08NF001, 08NF001,50.887032,-116.046097,2000,-5,6.1,16.5,7.1,-11.8,-4.3,3.9,-2.5,-8.4,0.9,10.2,2.3,299,189,447,261,782,172,1,131,0,47,494,98,2370,1578,714,1433,1,1,3,2,1,16,78,26,279,118,19,100,0,116,281,78,0,11,0,9,71,62,60,66
2000,08NF001, 08NF001,50.887032,-116.046097,2000,-4.2,6.3,17.6,5.3,-11.2,-3.4,4.1,-4.1,-7.7,1.5,10.9,0.6,271,205,235,228,732,151,1,237,0,61,546,89,2310,1524,658,1582,0,0,4,2,2,20,80,24,248,110,8,68,0,120,298,72,0,0,63,0,70,65,58,66
2001,08NF001, 08NF001,50.887032,-116.046097,2000,-5.3,6.9,18.5,7.5,-13.5,-3.3,4.8,-2.5,-9.4,1.8,11.7,2.5,176,217,277,216,859,158,1,160,0,90,624,154,2456,1492,582,1414,0,0,8,4,1,23,83,29,167,116,11,90,0,124,308,83,0,8,111,0,65,64,58,65
2002,08NF001, 08NF001,50.887032,-116.046097,2000,-4.8,3.5,18.5,6.3,-12.2,-6.2,4.3,-3.2,-8.5,-1.3,11.4,1.6,287,255,311,243,787,323,0,158,0,41,590,85,2379,1780,607,1499,0,0,6,2,1,13,82,24,269,150,8,66,0,68,311,49,0,0,57,0,68,63,56,66
2003,08NF001, 08NF001,50.887032,-116.046097,2000,-3.1,5.6,20.3,6,-10.5,-3.8,5.2,-3.7,-6.8,0.9,12.7,1.1,143,437,256,495,656,196,0,250,0,63,716,131,2223,1577,490,1533,0,0,14,3,2,20,85,30,121,251,6,208,0,117,335,80,0,0,148,0,69,65,55,65
2004,08NF001, 08NF001,50.887032,-116.046097,2000,-4,7.4,18.2,5.4,-11.7,-2.7,5.1,-2.9,-7.9,2.3,11.6,1.3,165,251,444,335,743,107,0,175,0,67,618,78,2325,1446,582,1523,0,0,6,2,1,23,84,26,153,109,10,125,0,121,302,67,0,12,13,0,67,64,59,70
2005,08NF001, 08NF001,50.887032,-116.046097,2000,-2.8,7.6,17.2,5.6,-11,-2.9,4,-2.6,-6.9,2.4,10.6,1.5,255,170,676,356,668,134,1,170,0,99,525,82,2240,1439,681,1504,1,1,4,2,2,25,80,27,223,66,36,117,0,131,290,70,0,15,0,0,66,63,59,71
2006,08NF001, 08NF001,50.887032,-116.046097,2000,-3.9,7.8,19.5,6.6,-10.7,-3.3,5.4,-3.2,-7.3,2.3,12.5,1.7,249,247,357,374,690,162,0,229,0,111,688,163,2264,1452,515,1482,1,1,11,4,3,26,86,29,212,76,5,190,0,135,321,85,0,0,29,0,71,61,57,66
2007,08NF001, 08NF001,50.887032,-116.046097,2000,-4.4,7,19,5.7,-11,-2.3,5.3,-3.2,-7.7,2.3,12.2,1.3,212,308,313,259,726,118,1,203,0,87,664,97,2306,1443,550,1526,0,0,15,0,2,26,84,26,194,128,9,97,0,122,315,73,0,0,79,0,72,67,58,68
2008,08NF001, 08NF001,50.887032,-116.046097,2000,-4.2,5.9,18,7.1,-12.8,-3.9,4.3,-1.9,-8.5,1,11.2,2.6,359,290,454,262,793,202,1,122,0,80,573,112,2386,1566,631,1404,0,0,5,2,1,22,81,30,336,135,14,76,0,79,303,76,0,0,0,0,64,64,57,68
2009,08NF001, 08NF001,50.887032,-116.046097,2000,-4.9,5.9,18.3,7.3,-12.7,-4.2,4.6,-2.4,-8.8,0.9,11.4,2.5,272,264,406,278,819,219,1,178,0,84,598,175,2409,1579,601,1421,0,0,6,3,1,20,82,29,256,144,10,150,0,126,306,66,0,0,0,13,67,64,58,66
2010,08NF001, 08NF001,50.887032,-116.046097,2000,-3,7.7,17.5,6.1,-12.3,-3.1,4,-3.4,-7.7,2.3,10.8,1.4,117,190,293,358,749,100,1,226,0,59,536,119,2314,1447,666,1511,1,1,4,2,2,20,81,29,105,86,11,141,0,122,297,79,0,0,58,0,61,62,58,66
2011,08NF001, 08NF001,50.887032,-116.046097,2000,-4.8,5.1,17.6,7.4,-13.4,-4.2,4.6,-3.2,-9.1,0.4,11.1,2.1,342,334,340,325,826,214,1,214,0,57,572,173,2426,1616,632,1445,1,1,5,4,1,19,84,29,320,184,11,154,0,73,294,90,0,0,42,0,63,65,59,63
2012,08NF001, 08NF001,50.887032,-116.046097,2000,-3.4,7,19,7.8,-10.9,-2.5,5.3,-2.2,-7.1,2.3,12.1,2.8,259,302,635,355,681,135,1,160,0,89,665,167,2255,1450,545,1391,0,0,11,4,2,26,84,30,230,169,27,152,0,128,313,87,0,8,33,4,68,66,58,65
2013,08NF001, 08NF001,50.887032,-116.046097,2000,-3,7.2,19.2,6.6,-10.4,-3.1,5.6,-2.8,-6.7,2,12.4,1.9,227,349,545,360,653,151,0,216,0,100,685,160,2223,1469,519,1466,0,0,11,4,2,25,86,31,197,142,12,123,0,125,316,81,0,0,56,0,68,64,58,66
2014,08NF001, 08NF001,50.887032,-116.046097,2000,-4.8,6,19.6,7.2,-13.1,-3.5,5.8,-2.1,-8.9,1.3,12.7,2.5,245,380,308,466,819,195,0,190,0,83,716,157,2409,1542,496,1406,0,0,15,3,2,24,86,37,218,175,6,186,0,121,322,81,0,0,71,0,64,66,58,68
2015,08NF001, 08NF001,50.887032,-116.046097,2000,-1.3,9.2,20.2,6.9,-9.1,-1.8,5.6,-2.7,-5.2,3.7,12.9,2.1,192,187,341,498,541,80,0,192,0,126,727,128,2088,1318,470,1445,1,1,11,2,4,30,87,32,145,60,5,218,0,169,332,79,0,25,41,0,67,62,56,66
2016,08NF001, 08NF001,50.887032,-116.046097,2000,-1.7,9.4,18.3,7.2,-9.2,-1,5.4,-1.3,-5.4,4.2,11.8,3,242,295,412,404,561,78,0,106,0,148,633,123,2110,1276,569,1372,0,0,7,2,4,37,86,35,193,65,8,115,0,139,301,74,0,10,17,0,69,64,60,70
2017,08NF001, 08NF001,50.887032,-116.046097,2000,-6.5,7,20.4,6.3,-14.4,-2.1,5.7,-2.3,-10.5,2.5,13.1,2,423,301,193,352,964,137,0,185,0,111,747,133,2561,1432,458,1459,0,0,15,2,1,30,87,30,411,158,3,170,0,126,335,78,0,4,171,0,66,68,55,69
2018,08NF001, 08NF001,50.887032,-116.046097,2000,-5.3,6.5,18.8,5.4,-12.5,-2.4,5.3,-2.9,-8.9,2.1,12,1.2,313,332,282,363,816,209,0,171,0,147,654,73,2406,1468,548,1527,1,1,8,2,2,34,86,25,289,173,6,139,0,131,310,67,0,0,103,0,69,68,58,70